reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.01,18.809,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.025,27.666,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.05,30.062,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.1,33.5,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.15,35.151,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.2,36.753,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.25,39.375,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.3,42.845,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.35,43.746,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.4,46.131,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.45,47.513,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.5,48.422,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.55,50.485,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.6,52.969,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.65,54.082,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.7,56.331,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.75,58.577,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.8,60.581,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.85,62.451,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.9,64.868,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.95,68.494,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.975,72.637,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.99,81.145,0
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.01,3.737,1
