forecast_date,target,target_end_date,location,type,quantile,value
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.01,0
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.025,0
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.05,0
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.1,2152.343
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.15,4445.052
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.2,7608.091
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.25,9299.515
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.3,11121.061
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.35,12243.753
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.4,13696.818
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.45,14746.102
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.5,17458.194
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.55,18772.611
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.6,20157.591
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.65,21264.231
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.7,22233.478
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.75,24204.375
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.8,28622.671
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.85,29964.015
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.9,34367.802
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.95,39594.35
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.975,43608.105
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,quantile,0.99,49738.505
2026-01-17,1 wk ahead admissions_influenza,2026-01-24,US,point,NA,17458.194
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.01,0
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.025,0
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.05,0
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.1,0
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.15,1887.818
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.2,4196.317
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.25,6034.207
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.3,8845.984
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.35,10143.891
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.4,12211.982
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.45,15472.481
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.5,17786.557
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.55,19316.906
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.6,21771.21
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.65,23340.43
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.7,28297.124
2026-01-17,2 wk ahead admissions_influenza,2026-01-31,US,quantile,0.75,29653.764
