,location,target_end_date,value,target_type
0,02,2020-01-25,0.0,wk ahead inc case
1,02,2020-02-01,0.0,wk ahead inc case
2,02,2020-02-08,0.0,wk ahead inc case
3,02,2020-02-15,0.0,wk ahead inc case
4,02,2020-02-22,0.0,wk ahead inc case
5,02,2020-02-29,0.0,wk ahead inc case
6,02,2020-03-07,0.0,wk ahead inc case
7,02,2020-03-14,1.0,wk ahead inc case
8,02,2020-03-21,15.0,wk ahead inc case
9,02,2020-03-28,76.0,wk ahead inc case
10,02,2020-04-04,80.0,wk ahead inc case
11,02,2020-04-11,89.0,wk ahead inc case
12,02,2020-04-18,58.0,wk ahead inc case
13,02,2020-04-25,25.0,wk ahead inc case
14,02,2020-05-02,26.0,wk ahead inc case
15,02,2020-05-09,15.0,wk ahead inc case
16,02,2020-05-16,18.0,wk ahead inc case
17,02,2020-05-23,20.0,wk ahead inc case
18,02,2020-05-30,32.0,wk ahead inc case
19,02,2020-06-06,131.0,wk ahead inc case
20,02,2020-06-13,145.0,wk ahead inc case
21,02,2020-06-20,125.0,wk ahead inc case
22,02,2020-06-27,183.0,wk ahead inc case
23,02,2020-07-04,310.0,wk ahead inc case
24,02,2020-07-11,332.0,wk ahead inc case
25,02,2020-07-18,495.0,wk ahead inc case
26,02,2020-07-25,733.0,wk ahead inc case
27,02,2020-08-01,955.0,wk ahead inc case
28,02,2020-08-08,550.0,wk ahead inc case
29,02,2020-08-15,583.0,wk ahead inc case
30,02,2020-08-22,547.0,wk ahead inc case
31,02,2020-08-29,533.0,wk ahead inc case
32,02,2020-09-05,496.0,wk ahead inc case
33,02,2020-09-12,546.0,wk ahead inc case
34,02,2020-09-19,552.0,wk ahead inc case
35,02,2020-09-26,704.0,wk ahead inc case
36,02,2020-10-03,880.0,wk ahead inc case
37,02,2020-10-10,1177.0,wk ahead inc case
38,02,2020-10-17,1361.0,wk ahead inc case
39,02,2020-10-24,1595.0,wk ahead inc case
40,02,2020-10-31,2738.0,wk ahead inc case
41,02,2020-11-07,2872.0,wk ahead inc case
42,02,2020-11-14,3812.0,wk ahead inc case
43,02,2020-11-21,4051.0,wk ahead inc case
44,02,2020-11-28,4193.0,wk ahead inc case
45,02,2020-12-05,4784.0,wk ahead inc case
46,02,2020-12-12,4080.0,wk ahead inc case
47,02,2020-12-19,3123.0,wk ahead inc case
48,02,2020-12-26,1765.0,wk ahead inc case
